data_type	code	name	short_name	extra1	extra2	create_by	create_time
MATERIAL	201-TE75-2530-C03-1000	201-TE75-2530-C03-1000				system-auto-sync	2026-03-30 17:53:33
MATERIAL	2011-R02-2125-BK01-1200	2011-R02-2125-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	2011-R02-2325-BK01-1200	2011-R02-2325-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	2011-R02-2525-BK01-0800	2011-R02-2525-BK01-0800				system-auto-sync	2026-03-30 17:53:33
MATERIAL	2011-R02-2625-BK01-1200	2011-R02-2625-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	2011-R02-2725-BK01-1200	2011-R02-2725-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	2011-R02-2825-BK01-1200	2011-R02-2825-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	2011-R02-7525-BK01-1200	2011-R02-7525-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	2011-R02-7825-BK01-1200	2011-R02-7825-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	202-R02-2020-BK01-1200	202-R02-2020-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	202-R02-2025-BK01-1200	202-R02-2025-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	202-R02-2425-BK01-1200	202-R02-2425-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	202-R02-2525-BK01-1200	202-R02-2525-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	202-R02-2725-BK01-1200	202-R02-2725-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	202-R02-2825-BK01-1200	202-R02-2825-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	202-R02-3222-BK01-1200	202-R02-3222-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	202-R02-3322-BK01-1200	202-R02-3322-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	202-ZR-2530-BK01-1000	202-ZR-2530-BK01-1000				system-auto-sync	2026-03-30 17:53:33
MATERIAL	202-ZR-R02-2525-BK01-1200	202-ZR-R02-2525-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	202-ZR-R02-2530-BK01-1000	202-ZR-R02-2530-BK01-1000				system-auto-sync	2026-03-30 17:53:33
MATERIAL	202-ZR-R02-2624-BK01-1200	202-ZR-R02-2624-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	202-ZR-R02-2711-BK01-1200	202-ZR-R02-2711-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	202-ZR-R02-2812-BK01-1200	202-ZR-R02-2812-BK01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	205-R02-2525-C03-0800	205-R02-2525-C03-0800				system-auto-sync	2026-03-30 17:53:33
MATERIAL	301-RO2-2307-B05-0300	301-RO2-2307-B05-0300				system-auto-sync	2026-03-30 17:53:33
MATERIAL	302-R00-6012-T01-0025聽	302-R00-6012-T01-0025聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	302-R02-3830-N01-1000	302-R02-3830-N01-1000				system-auto-sync	2026-03-30 17:53:33
MATERIAL	303-DG-3650-T01-3000	303-DG-3650-T01-3000				system-auto-sync	2026-03-30 17:53:33
MATERIAL	303-DG-5050-T01-3000	303-DG-5050-T01-3000				system-auto-sync	2026-03-30 17:53:33
MATERIAL	303-DG-5050-T01-4000	303-DG-5050-T01-4000				system-auto-sync	2026-03-30 17:53:33
MATERIAL	303-DG-5080-T01-4000	303-DG-5080-T01-4000				system-auto-sync	2026-03-30 17:53:33
MATERIAL	303-R03-2525-Y01-1200	303-R03-2525-Y01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	501-100-W01-1100	501-100-W01-1100				system-auto-sync	2026-03-30 17:53:33
MATERIAL	501-130-W01-1100	501-130-W01-1100				system-auto-sync	2026-03-30 17:53:33
MATERIAL	501-90-W01-1100	501-90-W01-1100				system-auto-sync	2026-03-30 17:53:33
MATERIAL	5011-R00-3005-T01-0030H	5011-R00-3005-T01-0030H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	5012-12T-1012-T01-0400-HG09	5012-12T-1012-T01-0400-HG09				system-auto-sync	2026-03-30 17:53:33
MATERIAL	5012-12T-1012-T01-0400-W25	5012-12T-1012-T01-0400-W25				system-auto-sync	2026-03-30 17:53:33
